Make,Model,Year,Mileage,Price,Is_New
Honda,Accord,2019,20000,22000,0
Toyota,Camry,2018,35000,18000,0
Ford,Fusion,2020,10000,25000,1
Chevrolet,Impala,2017,40000,15000,0
Hyundai,Sonata,2021,5000,28000,1
Kia,Optima,2016,45000,12000,0
Nissan,Altima,2019,30000,20000,0
Mazda,6,2017,38000,16000,0
Subaru,Legacy,2018,25000,19000,0
Volkswagen,Passat,2020,15000,26000,1
Honda,Civic,2016,55000,12000,0
Toyota,Corolla,2019,28000,16000,0
Ford,Mustang,2021,1000,35000,1
Chevrolet,Cruze,2015,60000,10000,0
Hyundai,Elantra,2020,12000,22000,0
Kia,Soul,2017,34000,13000,0
Nissan,Maxima,2021,8000,35000,1
Mazda,3,2018,29000,17000,0
Subaru,Impreza,2022,2000,28000,1
Volkswagen,Jetta,2016,48000,14000,0
Honda,Fit,2017,45000,13000,0
Toyota,Prius,2020,15000,22000,0
Ford,Escape,2019,25000,28000,0
Chevrolet,Equinox,2018,30000,19000,0
Hyundai,Tucson,2021,5000,30000,1
Kia,Sorento,2016,55000,16000,0
Nissan,Rogue,2019,32000,22000,0
Mazda,CX-5,2020,10000,32000,1
Subaru,Outback,2017,40000,20000,0
Volkswagen,Tiguan,2018,29000,22000,0
Honda,Pilot,2021,8000,42000,1
Toyota,Highlander,2015,80000,20000,0
Ford,Explorer,2016,65000,24000,0
Chevrolet,Traverse,2022,5000,40000,1
Hyundai,Palisade,2019,20000,38000,0
Kia,Telluride,2020,15000,42000,1
Nissan,Pathfinder,2017,45000,19000,0
Mazda,CX-9,2018,34000,26000,0
Subaru,Ascent,2021,12000,38000,1
Volkswagen,Atlas,2019,22000,30000,0
Honda,Odyssey,2016,70000,17000,0
Toyota,Sienna,2020,12000,30000,0
Ford,Transit,2018,32000,23000,0
Chevrolet,Express,2017,40000,20000,0
Hyundai,Starex,2019,20000,35000,0
Kia,Carnival,2021,10000,40000,1
Nissan,NV200,2018,30000,18000,0
Mazda,MX-5,2019,15000,25000,0
Subaru,BRZ,2017,35000,18000,0
Volkswagen,Golf,2020,8000,25000,1
Honda,Accord,2017,50000,17000,0
Toyota,Camry,2019,29000,21000,0
Ford,Fusion,2021,8000,28000,1
Chevrolet,Malibu,2016,56000,13000,0
Hyundai,Sonata,2020,18000,23000,0
Kia,K5,2022,3000,31000,1
Nissan,Altima,2018,36000,17000,0
Mazda,6,2021,5000,32000,1
Subaru,Legacy,2016,60000,15000,0
Volkswagen,Passat,2020,15000,25000,0
Honda,CR-V,2018,32000,24000,0
Toyota,Rav4,2021,6000,35000,1
Ford,Edge,2017,46000,20000,0
Chevrolet,Blazer,2019,28000,32000,0
Hyundai,Santa Fe,2020,12000,29000,0
Kia,Seltos,2021,8000,26000,1
Nissan,Rogue Sport,2018,39000,19000,0
Mazda,CX-30,2022,2000,36000,1
Subaru,Crosstrek,2017,42000,18000,0
Volkswagen,Taigun,2022,1000,28000,1
Honda,HR-V,2019,26000,20000,0
Toyota,C-HR,2021,12000,24000,0
Ford,EcoSport,2018,35000,15000,0
Chevrolet,Trailblazer,2020,10000,28000,0
Hyundai,Kona,2022,2000,32000,1
Kia,Sportage,2017,40000,18000,0
Nissan,Kicks,2021,5000,22000,1
Mazda,CX-3,2018,25000,19000,0
Subaru,Forester,2020,14000,30000,0
Volkswagen,Touareg,2016,67000,25000,0
Honda,Pilot,2019,28000,30000,0
Toyota,Highlander,2022,3000,42000,1
Ford,Expedition,2017,58000,30000,0
Chevrolet,Tahoe,2018,45000,35000,0
Hyundai,Palisade,2021,8000,42000,1
Kia,Sorento,2016,55000,16000,0
Nissan,Pathfinder,2019,22000,24000,0
Mazda,CX-9,2020,13000,32000,0
Subaru,Ascent,2017,47000,22000,0
Volkswagen,Atlas,2018,35000,27000,0
Honda,Odyssey,2021,6000,38000,1
Toyota,Sienna,2017,40000,21000,0
Ford,Transit,2019,20000,28000,0
Chevrolet,Express,2020,10000,35000,1
